Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1,SIA/TR/MIS/51554/2016,,,ENVIROCON,EC Granted - Processed offline,EC,
2,SIA/TR/MIN/241080/2021,,Sand Mining of M/S PRIYA BANDHU SAND,M/S PRIYA BANDHU SAND,Delisted,EC,
3,SIA/TR/MIN/282996/2022,,Sand mine of Parijat Sand,PARIJAT SINGHA,Delisted,EC,
4,SIA/TR/MIN/284229/2022,F.8(25)/SEIAA/2022/SM-13,Sand mining of Sawachi sand,BIKASH SAWACHI,EC Granted,EC,
5,SIA/TR/MIN/284237/2022,,sand mine of Parijat sand,PARIJAT SINGHA,Request for withdraw,EC,
6,SIA/TR/MIN/287412/2022,,"M/s Tripura Bricks Industry Unit – II,  Jirania R.D. Block, Block ID: UMT/ST-005",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
7,SIA/TR/MIN/409604/2022,F.8(25)/TSPCB/SEIAA/2022/SM-346,"M/s Jantu Das Sand, Block ID: UMT/DH-117",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,EC Granted,EC,
8,SIA/TR/MIN/236539/2021,,BRICK EARTH MINE OF M/S TRISHNA BRICKS INDUSTRIES,M/S TRISHNA BRICKS INDUSTRIES,Request for withdraw,EC,
9,SIA/TR/MIN/246713/2021,,BRICK EARTH MINE OF M/S BASUNDHARA BRICKS INDUSTRIES,M/S BASUNDHARA BRICKS INDUSTRIES,Request for withdraw,EC,
10,SIA/TR/MIN/247801/2021,,SAND MINE OF M/S GOMATI SAND & CARRING,SAND MINE OF M/S GOMATI SAND & CARRING,Delisted,EC,
11,SIA/TR/MIN/403256/2022,F.8(25)/TSPCB/SEIAA/2022/BF-290,Bholanath Bricks Industries,M/S. BHOLA NATH BRICKS INDUSTRIES,Site Visit by SEAC(Pending),EC,
12,SIA/TR/MIN/277578/2022,F.8(25)/SEIAA/2022/SM-03,Sand Mining of Padmamohan Sand,PADMA DEBBARMA,EC Granted,EC,
13,SIA/TR/MIN/275899/2022,F.8(25)/SEIAA/2022/SM-02,Mining of Sand Mine of M/s Supriya Gope Sand of Mr. Supriya Gope,SUPRIYA GOPE,EC Granted,EC,
14,SIA/TR/MIN/401479/2022,F.8(25)/TSPCB/SEIAA/2022/SM-339,"M/s Sarajit Sand Block, Block ID: UMT/NT/004",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,EC Granted,EC,
15,SIA/TR/MIN/401491/2022,F.8(25)/TSPCB/SEIAA/2022/BF-294,"M/s Tripura Bricks Industry Unit – II, Jirania R.D. Block, Block ID: UMT/ST-005",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Site Visit by SEAC(Pending),EC,
16,SIA/TR/MIN/261968/2022,,Sand Mine of A.K.D SAND,AMALESH DATTA,Delisted,EC,
17,SIA/TR/MIN/284961/2022,F.8(25)/SEIAA/2022/BF-05,RADHA KRISHANA BRICKS,UTTAM GHOSH,EC Granted,EC,
18,SIA/TR/MIN/285949/2022,,TRIPUR BRICKS IND UNIT 2,ASHOK DEBBARMA,Request for withdraw,EC,
19,SIA/TR/MIN/286594/2022,,NEW RAMTHAKUR INDUSTRY,NEW RAM THAKUR INDUSTRY,Request for withdraw,EC,
20,SIA/TR/MIN/416297/2023,,"M/s Sujan Sarkar Sand Block,  Block ID: UD/SAND/ST/SG-002",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
21,SIA/TR/MIN/249420/2022,,"M/s Gopal Debnath Sand, Sarasima Sand Block",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
22,SIA/TR/MIN/432899/2023,,"M/s Numan Hussain Sand, BLOCK ID: UMT/UNA-013",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Under examination of SEIAA,EC,
23,SIA/TR/MIN/415486/2023,,M/S - Bijoy Rupini,BIJOY RUPINI,Under examination of SEIAA,EC,
24,SIA/TR/MIN/242586/2021,,Sand Mine of M/s RAMTHAKUR SAND,M/S RAMTHAKUR SAND,Delisted,EC,
25,SIA/TR/MIN/282608/2022,,excavation of Sand on Dhanbilah Charra,DIPU DEBBARMA,Request for withdraw,EC,
26,SIA/TR/MIN/250820/2022,,Sand Mine of M/S DEBBARMA SAND,M/S DEBBARMA SAND,Delisted,EC,
