,Proposal.No.,File_No,Proposal Name,State,District,Tehsil,Date_1,Date_2,Category,Company,Status,Link
994,SIA/CG/MIN/56663/2016,OL/EC/LIMESTONE/DURG/469,ALPA SHRIVASTVA MEDESARA LIMESTONE MINE,Chhattisgarh,Durg,Dhamdha,Date of Submission for TOR: ,Date of Submission for EC: 24 Jun 2016 ,Non-Coal Mining,ALPA SHRIVASTAVA MEDESARA MINE,Rejection Letter Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/56663/2016&pid=22797
995,SIA/CG/NCP/53071/2016,OL/EC/B&C/RAIPUR/442,Avinash AASHIYANA,Chhattisgarh,Raipur,Raipur,Date of Submission for EC: 22 Apr 2016 ,Date of Ec Granted : 03 Aug 2016,INFRA-1,AVINASH BUILDERS,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/NCP/53071/2016&pid=19532
996,SIA/CG/MIN/53223/2016,,M&B Stone Wokrs,Chhattisgarh,Jashpur,Pathalgaon,Date of Submission for TOR: ,Date of Submission for EC: 27 Apr 2016 ,Non-Coal Mining,M AND B STONE WORKS,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/53223/2016&pid=19659
997,SIA/CG/MIN/42528/2016,OL/EC/STONEMINE/RAIPUR/347,GANESH STONES STONE MINE,Chhattisgarh,Raipur,Arang,Date of Submission for TOR: ,Date of Submission for EC: 28 Jan 2016 ,Non-Coal Mining,GANESH STONES,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42528/2016&pid=11266
998,SIA/CG/MIN/42566/2016,OL/EC/SANDMINE/KORIYA/348,SAND MINING PLAN PIPARIYA,Rajasthan,Jodhpur,Jodhpur,Date of Submission for EC: 29 Jan 2016 ,Date of Ec Granted : 22 Jul 2016,Non-Coal Mining,SARPANCH PAPRIYA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/42566/2016&pid=11302
999,SIA/CG/MIN/143461/2020,OL/EC/MIN/RAIGARH/1179,E-3 Sahaspuri Ordinary Sand Quarry,Chhattisgarh,Raigarh,Raigarh,Date of Submission for EC: 15 Feb 2020 ,Date of Ec Granted : 23 Feb 2021,Non-Coal Mining,DHRUV KUMAR AGRAWAL,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/143461/2020&pid=91355
1000,SIA/CG/MIN/96530/2019,,-1,,,,Date of Submission for TOR: ,Date of Submission for EC: 23 Feb 2019 ,Non-Coal Mining,XYZ  MINE,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/96530/2019&pid=53171
1001,SIA/CG/MIN/31395/2015,OL/EC/SANDMINE/BEMETARA/26,Mau sand mining,Chhattisgarh,Durg,Bemetra,Date of Submission for EC: 30 Sep 2015 ,Date of Ec Granted : 27 Nov 2015,Non-Coal Mining,SARPANCH MAU,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/31395/2015&pid=1206
1002,SIA/CG/MIN/31897/2015,OL/EC/SANDMINE/BIJAPUR/81,SAND MINING GRAM PANCHAYAT MANGALNAR,Chhattisgarh,Bijapur,No Data,Date of Submission for EC: 16 Oct 2015 ,Date of Ec Granted : 31 Mar 2016,Non-Coal Mining,SARPANCH GRAM PANCHAYAT MANGALNAR,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/31897/2015&pid=1565
1003,SIA/CG/MIN/31898/2015,OL/EC/SANDMINE/DANTEWADA/82,SAND MINE GRAM PANCHAYAT BALUD B,Chhattisgarh,Dantewada,Dantewada,Date of Submission for EC: 17 Oct 2015 ,Date of Ec Granted : 29 Dec 2015,Non-Coal Mining,GRAM PANCHAYAT BALUD B,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/31898/2015&pid=1566
1004,SIA/CG/MIN/31127/2015,OL/EC/SANDMINE/BASTAR/08,Sand Mining Balenga,Chhattisgarh,Bastar,Jagdalpur,Date of Submission for EC: 19 Sep 2015 ,Date of Ec Granted : 28 Nov 2015,Non-Coal Mining,SARPANCH BALENGA,EC Granted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/31127/2015&pid=1032
1005,SIA/CG/MIN/66933/2017,OL/EC/LIME_STONE/BALODABAZAAR/623,Bitkuli Limestone Mine,Chhattisgarh,Balodabazar,No Data,Date of Submission for TOR: ,Date of Submission for EC: 03 Aug 2017 ,Non-Coal Mining,ASHOK KUMAR JOHN,Delisted,https://environmentclearance.nic.in/TrackState_proposal.aspx?type=EC&status=EC_new&statename=Chhattisgarh&pno=SIA/CG/MIN/66933/2017&pid=36985
