,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
70,SIA/OR/MIN/411482/2022,Sogar Sand Quarry,Non-Coal Mining,22-Feb-23,20-12-2022,29-01-2023,22-02-2023,08-04-2023,,,20-05-2023,,14-08-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/411482/2022&type=EC&ID=214126
71,SIA/OR/INFRA2/408179/2022,Construction of Corporate Office,INFRA-2,02-Feb-23,09-12-2022,31-01-2023,02-02-2023,03-02-2023,,02-02-2023,04-02-2023,,25-04-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/INFRA2/408179/2022&type=EC&ID=213735
72,SIA/OR/MIN/423756/2023,"ENVIRONMENT CLEARANCE OF JAHADA SAND QUARRY OVER AN AREA OF 18.788 ACRES/7.603 HA AT VILLAGE JAHADA OF TAHASIL-DHARAKOTE IN DISTRICT GANJAM, ODISHA",Non-Coal Mining,29-Mar-23,29-03-2023,,,15-04-2023,,,20-04-2023,,24-08-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/423756/2023&type=EC&ID=218162
73,SIA/OR/MIN/423067/2023,"Rahadpur BSQ 10 over an area of 2.83 Ha in village Rahadpur,  Dharmasala Tahasil, Jajpur",Non-Coal Mining,24-Mar-23,24-03-2023,,,14-04-2023,,,19-04-2023,,16-05-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/423067/2023&type=EC&ID=217972
74,SIA/OR/MIN/421419/2023,"Proposal for EC of Khutubai Stone Quarry over an area of 10.38 Acres or 4.20 Ha at village-Khutubai, Tahasil-Papadahandi, Dist-Nabarangpur, Odisha of Sri Bidyadhar Mallick",Non-Coal Mining,11-Mar-23,11-03-2023,,,13-04-2023,,,20-05-2023,,02-08-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/421419/2023&type=EC&ID=217494
75,SIA/OR/INFRA2/423008/2023,Commercial Cum Residential Apartment Building  Project ,INFRA-2,15-Apr-23,06-04-2023,11-04-2023,15-04-2023,15-04-2023,,,20-04-2023,,27-09-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/INFRA2/423008/2023&type=EC&ID=218470
76,SIA/OR/MIN/423787/2023,"ENVIRONMENT CLEARANCE OF KAPILASH SAND QUARRY, OVER AN AREA OF 13.635 ACRE./5.518 HA. AT VILLAGE - KAPILASH, TAHASIL - DHARAKOTE, DISTRICT-GANJAM, ODISHA",Non-Coal Mining,29-Mar-23,29-03-2023,,,15-04-2023,,,31-05-2023,,07-11-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/423787/2023&type=EC&ID=218158
77,SIA/OR/MIN/423514/2023,APPLICATION FOR FRESH ENVIRONMENTAL CLEARANCE FOR DANKARI BLACK STONE QUARRY NO-5 OVER AN AREA 15.00 AC OR 6.07 HA  IN VILLAGE DANKARI UNDER DHARMASALA TAHSIL OF JAJPUR DISTRICT OF ODISHA,Non-Coal Mining,26-Mar-23,26-03-2023,,,15-04-2023,,,19-04-2023,,08-05-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/423514/2023&type=EC&ID=218033
78,SIA/OR/MIN/416474/2023,"Proposal for Fresh EC of Luakera Sand Bed over an area of 12.00 Acres or 4.856 Ha having Khata No.78, Plot No. 247/755/P in village Luakera under Rourkela Tahasil of Sundargarh District, Odisha.",Non-Coal Mining,31-Jan-23,31-01-2023,,,04-02-2023,,,21-02-2023,,31-05-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/416474/2023&type=EC&ID=215933
79,SIA/OR/IND2/422287/2023,"Proposed Grain Based Distillary unit (100 KLPD) with Co-generating Power plant (3MW)Project  to be set up over an area of 19.9 Acres (8.053 Ha) at Saptasajya, Dhenkanal, Odisha by M/s Indalc Spirits Pvt. Ltd",Industrial Projects - 2,17-Mar-23,17-03-2023,,,23-03-2023,,,24-03-2023,,14-08-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/422287/2023&type=EC&ID=217748
80,SIA/OR/MIN/405566/2022,"PROPOSAL FOR FRESH EC OF GADIAPAL SAND QUARRY OVER AN AREA OF 12.35 ACRES OR 4.997 HECTARES AT VILLAGE GADIAPAL UNDER REAMAL TAHASIL OF DEOGARH DISTRICT, ODISHA.",Non-Coal Mining,16-Dec-22,06-11-2022,23-11-2022,16-12-2022,16-12-2022,,,22-12-2022,,07-02-2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/405566/2022&type=EC&ID=212341
