Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
1276,SIA/BR/MIN/66032/2017,SIA/1(a)/542/18,Sand Mining Project at Mahisona Sand Ghat (Block no-7) on Kiul River.,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
1278,SIA/BR/MIN/34325/2019,,Tilathi Sand Ghat on Mirchiyadhar River,SUJEET KUMAR,Pending at PP due to eds,EC,
1279,SIA/BR/MIN/30913/2019,SIA/1(a)/566/18,Birdaban Sand Ghat Mining Project of Area 18.0 District Lakhisarai Bihar on Kiul River,WESTLINK TRADING PRIVATE LIMITED,EC Granted,EC,
1280,SIA/BR/MIN/128330/2019,,M/s Subhash Bricks,M/S SUBHASH BRICKS,Delisted,EC,
1284,SIA/BR/MIN/31033/2019,SIA/1(a)/622/19,"Sand mining project at Trikaul ghat on Son river in district Bhjpur, Bihar",BROADSON COMODITIES PVT LTD,EC Granted,EC,
1291,SIA/BR/IND/18806/2017,No Increase Pollution Load,J G Foundry Ltd.,J G FOUNDRY LTD,,NIPL,
1292,IA/BR/IND/67762/2017,No Increase Pollution Load,JMD Alloys Ltd,JMD ALLOYS LTD,,NIPL,
1293,SIA/UP/IND/292080/2022,No Increase Pollution Load,Messrs. Patliputra Cement Works,M/s. UltraTech Cement Ltd.,,NIPL,
1294,SIA/BR/IND/25215/2018,No Increase Pollution Load,Magadh Industries Pvt. Ltd.,MAGADH INDUSTRIES PVT LTD,,NIPL,
1295,SIA/BR/IND/25215/2018,No Increase Pollution Load,Ms Magadh Industries Pvt. Ltd.,MAGADH INDUSTRIES PVT LTD,,NIPL,
4,SIA/BR/IND2/47625/2019,SIA/5(g)/863/19,M/s Eastern India Biofuels Pvt. Ltd. (EIBPL),EASTERN INDIA BIOFUELS PRIVATE LIMITED,EC Granted,EC,
8,SIA/BR/MIN/32633/2019,SIA/1(a)/678/19,Sand mining project at Chhapra 4 ghat on Son river over an area of 7.0 ha in district Arwal in Bihar,MOR MUKAT MARKETING PRIVATE LIMITED,Referred Back to SEAC(A),EC,
9,SIA/BR/MIN/32593/2019,SIA/1(a)/674/19,Sand mining project at Sonbarsa Makbulpur Alauddin ghat on Son river over an area of 6.0 ha in district Arwal in Bihar,MOR MUKAT MARKETING PRIVATE LIMITED,Referred Back to SEAC(A),EC,
16,SIA/BR/MIN/417379/2023,,Jalwa Quartz-Quartzite (Silica Stone) Mine,IDIO CONSTRUCTION AND INDUSTRIES INDIA LTD,Under examination of SEIAA,EC,
18,SIA/BR/MIN/71235/2017,,Sand Mining Project at Kalikasthan Sand Ghat,WESTLINK TRADING PRIVATE LIMITED,Delisted,EC,
25,SIA/BR/MIN/143776/2020,,ORDINARY CLAY BSCPL INFRASTRUCTURE LTD MINING PROJECT FOR MAUZA KHARARI HAYAGHAT BAHERI DARBHANGA AREA 12.32 Ac,BSCPL INFRASTRUCTURE LTD. MAUZA KHARARI AREA 12.32 AC,Delisted,EC,
26,SIA/BR/MIN/144104/2020,,BRICK EARTH MINING PROJECT FOR M/S TRIMURTI EET UDYOG MAUZA BISHUNPUR BELA PARIHAR SITAMARHI AREA 3.09 Ac,M/S TRIMURTI EET UDYOG PROP DINESH RAY,Delisted,EC,
29,SIA/BR/MIN/18872/2015,SIA/1(a)/461/17,"Rajauli (Block 6) Ordinary Stone Mining Project Village: Rajauli, Tehsil-Nawada &  District-Nawada, State-Bihar",MS BSCPL INFRASTRUCTURE LTD,EC Granted,EC,
32,SIA/BR/MIN/129768/2019,,"Proposed Brick Earth Mining Project of Area 2.77 Acres or 1.12 Hectare for M/s Hira Bricks at Mauza-Lodipur, P.O-Byapur, P.S + Block-Maner, District-Patna, State-Bihar.",M/S HIRA BRICKS,Delisted,EC,
33,SIA/BR/MIN/130178/2019,,Brick Earth Mining Project for M/s A.R.L Bricks,BRICK  EARTH  MINING  PROJECT,Delisted,EC,
