,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
662,SIA/OR/MIN/418856/2023,"Environment Clearance of Ostapura-Bholanuagaon Cluster Stone Quarry over an area of 10.925 Ha in village - Ostapura & Bholanuagaon, Tahasil – Ghasipura in district Keonjhar of Odisha",Non-Coal Mining,18 Feb 2023,18/02/2023,06/03/2023,,28/04/2023,,,31/05/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/418856/2023&type=EC&ID=216668
663,SIA/OR/MIN/418920/2023,Proposal for fresh Environmental Clearance for Tentuligaon Sand Bed over an area of 12.355 Acres or 5.00 Hectares in village Tentuligaon under Agalpur tahasil of Balangir district.,Non-Coal Mining,18 Feb 2023,18/02/2023,04/04/2023,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/418920/2023&type=EC&ID=216680
664,SIA/OR/MIN/70864/2017,PULESWAR SAND QUARRY ,Non-Coal Mining,09 Nov 2017,09/11/2017,,,10/11/2017,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/70864/2017&type=EC&ID=39224
665,SIA/OR/MIN/20615/2017,Badapada Stone Quarry,Non-Coal Mining,09 Oct 2017,09/10/2017,,,09/10/2017,,,27/10/2017,08/11/2017,06/04/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/20615/2017&type=EC&ID=43996
666,SIA/OR/MIN/424804/2023,"Bajrakote Send Quarry over an area of 11.83 acres or 4.79 hectares bearing Khata no: 519, Plot no: 2402 in Village Bajrakote, Tahasil Kaniha , District Angul, State Odisha.",Non-Coal Mining,14 Dec 2023,06/04/2023,17/04/2023,14/12/2023,21/12/2023,,,28/12/2023,,20/03/2024,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/424804/2023&type=EC&ID=218479
667,SIA/OR/IND2/25914/2018,Sirabahal O.S. Shop,Industrial Projects - 2,28 Apr 2018,28/04/2018,,,30/04/2018,,,05/06/2018,03/07/2018,28/07/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/25914/2018&type=EC&ID=44918
668,SIA/OR/MIN/49883/2016,"Jiginagam Sand Quarry Over lease area of 5.68 ha located at Village- Jiginagam, Tahasil- Tikabali, District- Kandhamal",Non-Coal Mining,15 Mar 2016,15/03/2016,15/03/2016,15/03/2016,15/03/2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/49883/2016&type=EC&ID=13765
669,SIA/OR/MIN/52830/2016,"Talakusuma Sand Quarry on river Chitrotpala over an area 5.06 Ha in District Kendrapara of Garadpur Tahasil, Odisha.",Non-Coal Mining,13 Apr 2016,13/04/2016,,,16/04/2016,,,,,30/11/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/52830/2016&type=EC&ID=17364
670,SIA/OR/MIN/73217/2018,RAIKELA SAND QUARRY,Non-Coal Mining,27 Feb 2018,27/02/2018,06/03/2018,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/73217/2018&type=EC&ID=42677
671,SIA/OR/MIN/64097/2017,Mamuriasahi Sand Quarry,Non-Coal Mining,21 Apr 2017,21/04/2017,,,24/04/2017,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/64097/2017&type=EC&ID=35029
672,SIA/OR/IND2/21903/2018,1080 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED PASTIPADA OS SHOP,Industrial Projects - 2,05 Feb 2018,05/02/2018,,,06/02/2018,,,31/03/2018,09/04/2018,14/05/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/21903/2018&type=EC&ID=44131
673,SIA/OR/IND/88597/2018,"Chrome ore beneficiation plant and Manganese roasting unit of M/s Mohashakti Ferro Alloys pvt ltd with throughput 12000TPA & 6000TPA over an area of 1Acre at village Baragada, Po-Byree, Dist-Jajpur,Odisha.",Industrial Projects - 1,15 Dec 2018,15/12/2018,15/12/2018,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND/88597/2018&type=EC&ID=51118
674,SIA/OR/MIN/49782/2016,INDKHOLI STONE QUARRY,Non-Coal Mining,16 Feb 2016,16/02/2016,02/03/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/49782/2016&type=EC&ID=13575
675,SIA/OR/MIN/410834/2022,"GANDHARGALA QUARRY LEASE AREA OVER 32.60 ACRES OR 13.193 HECTARES KHATA NO: 54, PLOT NO: 1/P, 298/P, 299/P IN VILLAGE GANDHARGALA, PS TITLAGARH, DISTRICT BALANGIR, ODISHA",Non-Coal Mining,17 Dec 2022,17/12/2022,,,19/12/2022,,,20/12/2022,,06/06/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/410834/2022&type=EC&ID=214013
676,SIA/OR/MIN/57565/2016,"Bhatakhalli Stone Quarry over an area of 7.145 Ha in bhatakhalli village, tahasil - Polasara",Non-Coal Mining,19 Jul 2016,19/07/2016,19/07/2016,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/57565/2016&type=EC&ID=23618
677,SIA/OR/MIN/50481/2016,"Baitarani River Sand Kanpur to Manpur Quarry over 14.503 Acre or 5.869 Ha in village Kanpur, Kanika Tahsil, Kendrapara district of Odisha",Non-Coal Mining,11 Mar 2016,11/03/2016,10/03/2016,11/03/2016,11/03/2016,,,,,30/08/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/50481/2016&type=EC&ID=14321
678,SIA/OR/MIN/37843/2016,"Khanjamahal Stone Quarry-86 Over a lease area of 2.00 acres or 0.809 ha located at Village- Khanjamahal, Tahasil- Soro, District- Balasore. ",Non-Coal Mining,02 Jan 2016,02/01/2016,,,10/01/2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/37843/2016&type=EC&ID=6928
679,SIA/OR/MIN/83367/2018,Sindrigaon Sand Quarry over an area of 8.320 Ha. in village Sindrigaon under Balliguda Tahasil of Kandhamal District Odisha. ,Non-Coal Mining,25 Oct 2018,25/10/2018,25/10/2018,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/83367/2018&type=EC&ID=47428
680,SIA/OR/NCP/23686/2018,"Environment Clearance of proposed commercial building project of M/s Oorjita Projects Pvt. Ltd. at Rudrapur, Bhubaneswar",INFRA-1,06 Apr 2018,06/04/2018,,,13/04/2018,,,19/05/2018,15/10/2018,30/11/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/NCP/23686/2018&type=EC&ID=47727
681,SIA/OR/IND2/26160/2018,Pandua OS Shop,Industrial Projects - 2,21 May 2018,21/05/2018,,,21/05/2018,,,13/06/2018,06/09/2018,17/09/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/26160/2018&type=EC&ID=45884
682,SIA/OR/IND2/23238/2018,810 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED NISHANPUR MAIN  O S SHOP,Industrial Projects - 2,31 Mar 2018,31/03/2018,,,07/04/2018,,,08/05/2018,23/05/2018,07/06/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/23238/2018&type=EC&ID=44446
683,SIA/OR/IND2/23117/2018,Ichgaon OS Shop,Industrial Projects - 2,30 Mar 2018,30/03/2018,,,31/03/2018,,,08/05/2018,13/07/2018,30/07/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/23117/2018&type=EC&ID=45040
684,SIA/OR/MIN/20996/2016,Kuakhai River Sand Bed Mining Project,Non-Coal Mining,23 Nov 2017,23/11/2017,15/11/2017,23/11/2017,24/11/2017,,,21/05/2018,02/06/2018,05/07/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/20996/2016&type=EC&ID=39258
685,SIA/OR/IND/29913/2017,Jajpur Cements Private Limited,Industrial Projects - 1,24 Nov 2018,24/11/2018,,,,,,,,21/05/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND/29913/2017&type=EC&ID=47812
686,SIA/OR/MIN/433303/2023,"Environmental Clearance of Kantiapada Stone Quarry over an area of 0.76 acres or 0.307 ha, at village-Kantiapada, Tahasil-Patna, Dist-Keonjhar, Odisha of Sri Shankar Kumar",Non-Coal Mining,21 Jun 2023,14/06/2023,17/06/2023,21/06/2023,21/06/2023,,,26/06/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/433303/2023&type=EC&ID=221361
687,SIA/OR/MIN/439359/2023,"Khemabeda Decorative stone mines  over an area of 4.755Ha(Total cluster area 9.696 Ha) in village Khemabeda, Tahasil Boipariguda, District Koraput, Odisha",Non-Coal Mining,09 Aug 2023,09/08/2023,,,13/08/2023,,,19/08/2023,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/439359/2023&type=EC&ID=223783
688,SIA/OR/MIN/441243/2023,Pattiguda Stone Quarry Over an area of 9.125 acres or 3.692 ha at village Pattiguda Tahasil Sanakhemundi District Ganjam ,Non-Coal Mining,24 Aug 2023,22/08/2023,24/08/2023,24/08/2023,25/08/2023,,,06/09/2023,,18/11/2023,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/441243/2023&type=EC&ID=224271
689,SIA/OR/IND2/22582/2018,Sahajbahal ‘K’ O.S. Shop,Industrial Projects - 2,22 Mar 2018,22/03/2018,,,26/03/2018,,,07/05/2018,07/07/2018,28/07/2018,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/IND2/22582/2018&type=EC&ID=44945
690,SIA/OR/MIN/60445/2016,Badakodanda 1 River Sand Bed over an area of 5.404 Ha in Badakodanda Village under Ghumusur(Bhanjanagar) Tahasil of Ganjam district Odisha,Non-Coal Mining,15 Nov 2016,15/11/2016,,,17/11/2016,,,14/02/2017,22/02/2017,06/03/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/60445/2016&type=EC&ID=32718
691,SIA/OR/MIN/48132/2016,"Bedapaunsi Sand Bed Over lease area of 15.611 acres/6.30 ha located at Village- Bedapaunsi, Tahasil- Kundra, District- Koraput",Non-Coal Mining,05 Feb 2016,05/02/2016,,,06/02/2016,,,,,25/06/2016,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/48132/2016&type=EC&ID=11969
692,SIA/OR/MIN/50691/2016,"Bhatakumarada Stone Quarry-D Over lease area of 13.00 acres located at Village- Bhatakumarada, Tahasil- Purushottampur, District- Ganjam",Non-Coal Mining,08 Apr 2016,08/04/2016,03/03/2016,08/04/2016,08/04/2016,,,17/11/2016,23/11/2016,29/04/2017,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/OR/MIN/50691/2016&type=EC&ID=14497
