,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
2562,SIA/UP/MIS/116089/2019,"Group Housing Project ""Uninav Bliss""",INFRA-2,16 Sep 2019,16/09/2019,16/09/2019,16/09/2019,20/09/2019,,,09/10/2019,17/11/2019,31/01/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/116089/2019&type=EC&ID=62928
2563,SIA/UP/MIN/70853/2021,"Building Stone (Khanda, Boulder, Bailast (Gitti))",Non-Coal Mining,06 Jan 2022,06/01/2022,,,20/01/2022,,,25/01/2022,05/04/2022,20/05/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/70853/2021&type=EC&ID=197489
2564,SIA/UP/MIS/45971/2019,Rishita  Mulberry Heights Group Housing No 1,INFRA-2,13 Dec 2019,07/11/2019,02/12/2019,13/12/2019,17/01/2020,,,21/01/2020,09/06/2020,28/07/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/45971/2019&type=EC&ID=70628
2565,SIA/UP/MIN/32986/2019,"“Granite (Khanda, Gitti & Boulder) Mine” Project at Gata No.-715 Khand No.- 21, Village- Gonda, Tehsil- Karwi, District- Chitrakoot, U.P. (Leased Area : 2.02 ha./ 5.0 Acres)",Non-Coal Mining,07 Nov 2019,07/11/2019,,,23/11/2019,,,06/12/2019,23/01/2020,08/02/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/32986/2019&type=EC&ID=70667
2566,SIA/UP/MIS/201759/2021,Up-gradation and Expansion of Existing District Hospital,INFRA-2,04 Mar 2021,04/03/2021,,,12/03/2021,,,15/03/2021,20/05/2021,15/05/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/201759/2021&type=EC&ID=171173
2567,SIA/UP/MIN/228714/2021,"Proposed “Ordinary Soil Excavation” Project at Gata No.–161, 164, 165, 166, 167 Village-Bhadri, Tehsil-Bilari, District- Moradabad, Uttar Pradesh",Non-Coal Mining,10 Sep 2021,10/09/2021,,,14/09/2021,,,13/10/2021,01/12/2021,24/12/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/228714/2021&type=EC&ID=191055
2568,SIA/UP/MIN/68993/2021,building stone sandstone mine at village bhagautidei tehsil chunar mirzapur,Non-Coal Mining,12 May 2022,12/05/2022,,,14/05/2022,,,16/05/2022,,08/08/2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/68993/2021&type=EC&ID=203008
2569,SIA/UP/MIS/55411/2018,"Proposed Expansion of “Candor Techspace”, IT/ITES- SEZ, Plot No. 20-21, Sector 135, Noida, Distt. Gautam Buddh Nagar, (U. P.)",INFRA-2,09 Aug 2020,09/08/2020,,,18/08/2020,,,26/08/2020,25/09/2020,14/10/2020,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIS/55411/2018&type=EC&ID=121904
2570,SIA/UP/MIN/167086/2020,"ordinary earth excavation from Khasra/Gata Nos. Gata No.- 51 & 52 ,Area – 0.852 ha at Village- Miyapur,  Pargana-Deva, Tehsil: Nawabganj District- Barabanki, Uttar Pradesh",Non-Coal Mining,07 Aug 2020,07/08/2020,,,10/08/2020,,,11/08/2020,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/167086/2020&type=EC&ID=121906
2571,SIA/UP/MIN/189930/2020,"Building stone, Khanda- Boulder/ Gitti - Ballast Mining",Non-Coal Mining,25 Dec 2020,25/12/2020,,,28/12/2020,,,07/01/2021,03/11/2021,10/12/2021,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/UP/MIN/189930/2020&type=EC&ID=152450
