,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
62,SIA/BR/MIN/30943/2019,Dumri Sand Ghat Mining Project,Non-Coal Mining,31 Aug 2019,31/08/2019,29/08/2019,31/08/2019,06/09/2019,,,06/09/2019,17/10/2019,24/10/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/30943/2019&type=EC&ID=61514
63,SIA/BR/MIN/30950/2019,Bihari Sand Ghat mining project,Non-Coal Mining,31 Aug 2019,31/08/2019,29/08/2019,31/08/2019,06/09/2019,,,06/09/2019,17/10/2019,06/11/2019,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/30950/2019&type=EC&ID=62739
64,SIA/BR/MIN/35501/2019,"Soil  Mining Project of Area 4.23 Acres or 1.71  Hectare  at Vill- Gangura Bihara,  P.O-  Bihara, P.S-  Bihara, Block-  Satar Kataiya, District-  Saharsa, State-  Bihar for M/s  Ganpati Construction",Non-Coal Mining,30 Apr 2019,30/04/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/35501/2019&type=EC&ID=55263
65,SIA/BR/MIN/35982/2019,"Mauza- Aurangpur, P.O- Nataul, P.S- Kadirganj, Block- Dhanarua, District- Patna, State- Bihar",Non-Coal Mining,09 May 2019,09/05/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/35982/2019&type=EC&ID=55534
66,SIA/BR/MIN/36050/2019,"Proposed Brick Earth Mining Project of Area 2.44 Acres or 0.99 Hectare for M/s  Mamta Int Udyog at Mauza + P.O- Dariapur, P.S + Block- Naubatpur, District- Patna, State-  Bihar.",Non-Coal Mining,11 May 2019,11/05/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/36050/2019&type=EC&ID=55572
67,SIA/BR/MIN/140880/2020,"Brick Earth Mining Project of Area 4.18 Acres or 1.69 Hectare M/s Rakesh Bricks at Mauza- Senuaria, P.S- Inarwa, Block- Mainatand, District-West Champaran, State - Bihar",Non-Coal Mining,05 Feb 2020,05/02/2020,07/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/140880/2020&type=EC&ID=86758
68,SIA/BR/MIN/144003/2020,BRICK EARTH MINING PROJECT FOR M/S S R P ENT UDYOG MAUZA KAMALDAH BATHNAHA SITAMARHI AREA 3.11 Ac,Non-Coal Mining,20 Feb 2020,20/02/2020,30/07/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/144003/2020&type=EC&ID=91507
69,SIA/BR/MIN/126024/2019,"Brick earth Mining in Gata No. 150,8,151,151/136,9,10,51,163/3311,163,62,62/1360 in village Pasopur, Tehsil-Bhagwanpur, Dist-Begusarai,Bihar",Non-Coal Mining,19 Nov 2019,19/11/2019,06/02/2020,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/126024/2019&type=EC&ID=73121
70,SIA/BR/MIN/41681/2019,SUGAULI & CHAND PARSA BALU GHAT,Non-Coal Mining,24 Aug 2019,24/08/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/41681/2019&type=EC&ID=62791
71,SIA/BR/MIN/33325/2019,Proposed Sand Mining Project of Area 4.5 Ha at Narhan Ghat on Ghaghra (Sarayu) River of District-Siwan of State-Bihar.,Non-Coal Mining,19 Mar 2019,19/03/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/33325/2019&type=EC&ID=54093
72,SIA/BR/MIN/33690/2019,Amha Laukaha Sand Ghat on Tilawe River,Non-Coal Mining,26 Mar 2019,26/03/2019,,,,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/BR/MIN/33690/2019&type=EC&ID=54275
