,Proposal Number,Project Name,Project Sector,Date of Submission,Submitted by Proponent,Query for Shortcoming(if any) by SEIAA,Resubmission of Proposal by Proponent 1,Accepted by SEIAA and forwarded to SEAC,Query for Shortcoming(if any) by SEAC,Resubmission of Proposal by Proponent 2,Accepted by SEAC,Forwarded to SEIAA for EC,EC Letter Uploaded On/EC Granted,Link
6857,SIA/MH/NCP/53415/2016,Mixed Use residential & commercial project - Yashwin Hinjewadi,INFRA-1,03-May-16,03-05-2016,,,04-08-2016,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/NCP/53415/2016&type=EC&ID=19811
6858,SIA/MH/MIN/32597/2015,STONE QUARRY OF MR SAYYAD TAREK HASHMI CHITEGAON TANDA 2,Non-Coal Mining,06-Nov-15,06-11-2015,,,09-12-2015,,,,,,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/32597/2015&type=EC&ID=2081
6859,SIA/MH/MIN/243605/2021,Environmental Clearance for proposed river bed Sand mining having lease area 1.13 Ha of Chandola Sand ghat on Purna River,Non-Coal Mining,09-Dec-21,09-12-2021,,,10-12-2021,,,21-12-2021,24-12-2021,14-01-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/243605/2021&type=EC&ID=194559
6860,SIA/MH/MIN/260829/2022,Environmental clearance for proposed river bed sand mining having lease area 2.00Ha of Mohurli Mo. Jibgaon Sand ghat Wainganga River.,Non-Coal Mining,09-Mar-22,09-03-2022,,,11-03-2022,,,23-03-2022,03-04-2022,11-04-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/260829/2022&type=EC&ID=200285
6861,SIA/MH/MIN/260311/2022,Environmental Clearance for proposed river bed Sand mining having lease area 3.50 Ha of Shivni Buj 1 sand ghat on Wainganga River,Non-Coal Mining,09-Mar-22,09-03-2022,,,09-03-2022,,,23-03-2022,03-04-2022,12-04-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/260311/2022&type=EC&ID=200158
6862,SIA/MH/MIN/260334/2022,Environmental Clearance for proposed river bed Sand mining having lease area 2.50 Ha of Deulgaon 1 sand ghat on Wainganga River,Non-Coal Mining,23-Mar-22,09-03-2022,,,09-03-2022,23-03-2022,23-03-2022,23-03-2022,03-04-2022,12-04-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/260334/2022&type=EC&ID=200163
6863,SIA/MH/MIS/247171/2021,"Proposed residential development at plot bearing CTS no. 33A, 62 76 of village Majas at Jogeshwari (E), Mumbai",INFRA-2,24-Dec-21,24-12-2021,,,30-12-2021,,,01-02-2022,,26-08-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/247171/2021&type=EC&ID=195579
6864,SIA/MH/MIN/246690/2021,Environmental Clearance for Proposed river bed Sand mining having lease area 1.00 Ha of Patonda sandghat on Purna River,Non-Coal Mining,31-Dec-21,31-12-2021,,,04-01-2022,,,13-01-2022,21-01-2022,29-01-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/246690/2021&type=EC&ID=195444
6865,SIA/MH/MIS/259791/2022,Legacy Midaura,INFRA-2,04-Mar-22,04-03-2022,,,05-03-2022,,,19-05-2022,,16-07-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIS/259791/2022&type=EC&ID=199987
6866,SIA/MH/MIN/259858/2022,Environmental Clearance for proposed river bed Sand mining having lease area 1.00 Ha of Medram Mal Sand ghat on Medram Nala,Non-Coal Mining,10-Mar-22,10-03-2022,,,11-03-2022,,,22-03-2022,03-04-2022,11-04-2022,https://environmentclearance.nic.in/timeline.aspx?pid=SIA/MH/MIN/259858/2022&type=EC&ID=200022
